n,heapsort.ticks
150000,3256259
180000,3957650
210000,4664506
240000,5371362
270000,6087443
300000,6813618
330000,7540732
360000,8273694
390000,9010394
420000,9748109
450000,10485581
480000,11225353
510000,11965749
540000,12712069
570000,13470099
600000,14224812
630000,14985208
660000,15745106
690000,16506557
720000,17270752
750000,18033880
780000,18799273
810000,19564831
840000,20333729
870000,21098424
900000,21871059
930000,22640847
960000,23410195
990000,24178996
1020000,24949205
1050000,25723043
1080000,26507861
1110000,27293934
1140000,28075590
1170000,28864782
1200000,29649590
1230000,30438783
1260000,31226440
1290000,32018571
1320000,32809904
1350000,33605663
1380000,34395070
1410000,35185707
1440000,35980503
1470000,36769222
