n,heapsort.time
150000,160
180000,174
210000,262
240000,288
270000,330
300000,382
330000,429
360000,534
390000,568
420000,696
450000,1024
480000,1159
510000,1207
540000,1284
570000,1378
600000,1440
630000,1542
660000,1697
690000,1728
720000,1861
750000,1952
780000,1764
810000,1708
840000,1914
870000,2092
900000,2480
930000,2556
960000,2659
990000,2754
1020000,2899
1050000,2964
1080000,3076
1110000,3276
1140000,3289
1170000,3450
1200000,3512
1230000,2845
1260000,2873
1290000,2940
1320000,3064
1350000,3148
1380000,3221
1410000,3375
1440000,3512
1470000,3623
